address,transaction_amount,allocation_points
0x01bc8b3baaa22c61ff330adddfe8238dbabe58e0,3,0.098907492404163200000000000000
0x01bd36c0b54275f94a68d46b10f494ed31dc8e16,1,0.032969164134721100000000000000
0x01beb4f71759da11d26094849687454cb74acc6c,1,0.032969164134721100000000000000
0x01c2b1cf5b5f38764b712e3428cd848251c8c62b,3,0.098907492404163200000000000000
0x01c52922ce2fbb41bf0caad3afda9df97dffef51,1,0.032969164134721100000000000000
0x01c882b6d03b73eb83a1721b84f47adc784b29b7,1,0.032969164134721100000000000000
0x01cec608594c57793ac903eedea5c2174d015f71,1,0.032969164134721100000000000000
0x01cf51a8be423f7220cdd59b7c6d82f64db5c90e,1,0.032969164134721100000000000000
0x01d3fda12923b474e4b3e8a501f5b828faf9851b,1,0.032969164134721100000000000000
0x01dbaf49bc64e89a5cd3cc83b2e7c00771db644c,1,0.032969164134721100000000000000
0x01dda60c8ef36748cd4d2f63035c2e6cf7995acd,1,0.032969164134721100000000000000
0x01deed73dbae0311970a3b4dd86dee44f893567e,1,0.032969164134721100000000000000
0x01def5404c0211ac14207292195b6a9b30f4f193,1,0.032969164134721100000000000000
0x01e05a1133ee1a46df2a26d48740ff688f629489,1,0.032969164134721100000000000000
0x01e45fd0f3e46915aea9d872a68d826f1c94f9ab,1,0.032969164134721100000000000000
0x01e53424dc3af05357527620bead189c6fb2802a,7,0.230784148943047000000000000000
0x01e752354fa34a81465c2c946ea7f0f0ab9d94ce,1,0.032969164134721100000000000000
0x01e9b41bd8adea334f9c5bb5d05467a9280b34f7,1,0.032969164134721100000000000000
0x01ea0df019655163f3dd19a127f50c8edc91701b,1,0.032969164134721100000000000000
0x01f142a07677f99dd6df9761c41ea5d56c3f3962,3,0.098907492404163200000000000000
0x020829f116adefe812948b5c87eef78d88282621,3,0.098907492404163200000000000000
0x020bc3704e1fa3c2377acbc1fb304f566beced4a,1,0.032969164134721100000000000000
0x020bcc84120694ffe7f6336daf917f3023028746,2,0.065938328269442100000000000000
0x020dae74057b2ee6f7753d81d0bfb635f80e4353,1,0.032969164134721100000000000000
0x0210918cab0fb21f7eba3bd0bc832bb93bd22522,1,0.032969164134721100000000000000
0x0215c83322e6706b9a3158cf50a3e0ae2a616d5a,1,0.032969164134721100000000000000
0x02164c173b2043edc72d4a72e88f661a4da3c779,2,0.065938328269442100000000000000
0x0219fa798bcce8292898f8d34208a80cdcbd6aae,2,0.065938328269442100000000000000
0x021a8fe8a9322a2a6cba4847825a24e68f7a6e95,1,0.032969164134721100000000000000
0x021bac9dd781345522930a6ddf5255c8e2953c4d,8,0.263753313077768000000000000000
0x021d238140439da1961c55d11b07b49105f4e736,1,0.032969164134721100000000000000
0x02206394b1dca06358f8a0caf9381b55db1b8968,1,0.032969164134721100000000000000
0x0221e4dfa19404c0a8aec9a913627fd73d149931,1,0.032969164134721100000000000000
0x022482a1f4496fcc4bf306a26085ba150debe505,1,0.032969164134721100000000000000
0x0226c922242131a3ed26e0e963587986751c834d,1,0.032969164134721100000000000000
0x02304fb3c7c2ea453c05b2ae2f0d3ba91ba405bf,1,0.032969164134721100000000000000
0x0235e25b78dbc0c313b8eb890c8b4f95e0f2ece8,1,0.032969164134721100000000000000
0x0238b776b290f75511e20ddb56c16b5c9b909ba5,1,0.032969164134721100000000000000
0x0239af9ac3486ada645dd2c6badc7c55d4504e73,4,0.131876656538884000000000000000
0x023ba5dae9f073b960c9c2b849ca5e2b80849d44,1,0.032969164134721100000000000000
0x023cff53592636317fa8232074496f5ce54085de,2,0.065938328269442100000000000000
0x023d03f82e90090565f8a1e4f6b5bf37d10670b4,1,0.032969164134721100000000000000
0x02402e85e3e5722235a41edb92700d75106ebb24,1,0.032969164134721100000000000000
0x0240464b84d6e550f59744834387febdbd9c64a5,1,0.032969164134721100000000000000
0x024138640d9db2b23c2f3f6a4d59147c46947ea9,2,0.065938328269442100000000000000
0x024a36aebaa90f12ca2afd43de5fe9b78b86c98b,1,0.032969164134721100000000000000
